Year	Date	DayPart	ExactTime	Order	EventID	Track	Origin	Title	Event	Characters	Teams	Groups	Scope	Location	Arc	Continuity	DateCertainty	Reference	SupportingSources	Review
0	18.01	unknown		100	V10-000001	NARUTO	M	Prologue — Land of Waves	arc 01 [Prologue — Land of Waves] — Naruto paints the Hokage Monument; Iruka catches him and makes him clean it; Naruto declares that he will surpass every Hokage; Iruka treats him to ramen after Naruto performs the Transformation Technique.	Naruto Uzumaki;Iruka Umino			character;location	Land of Waves	Prologue — Land of Waves	main	inherited_v9	Prologue — Land of Waves	A [еп. 1] — аніме розширює погоню за Наруто, його самотній побут і реакцію мешканців Конохи на витівку з монументом.	supporting-source-migrated;daypart
0	19.01	unknown		100	V10-000002	NARUTO	M	Prologue — Land of Waves	arc 01 [Prologue — Land of Waves] — Naruto fails the Academy graduation exam because he cannot make a stable clone; Mizuki manipulates him into stealing the Scroll of Seals; Hiruzen orders the scroll recovered; Iruka finds Naruto and learns Mizuki set him up; Mizuki reveals the Nine-Tails is sealed in Naruto and attacks Iruka.	Naruto Uzumaki;Hiruzen Sarutobi;Iruka Umino			character;location	Land of Waves	Prologue — Land of Waves	main	inherited_v9	Prologue — Land of Waves	A [еп. 1] — випускний іспит, крадіжка Сувою Печатей і зрада Мідзукі екранізовані в межах першої серії.	supporting-source-migrated;daypart
0	20.01	dawn		100	V10-000003	NARUTO	M	Prologue — Land of Waves	arc 01 [Prologue — Land of Waves] — Before dawn Iruka protects Naruto and acknowledges him as Naruto rather than the Nine-Tails; Naruto uses the Multiple Shadow Clone Technique learned from the scroll to defeat Mizuki; Iruka gives Naruto his own forehead protector and passes him.	Naruto Uzumaki;Iruka Umino			character;location	Land of Waves	Prologue — Land of Waves	main	inherited_v9	Prologue — Land of Waves	A [еп. 1] — Ірука визнає Наруто, а той уперше масово застосовує Тіньових Клонів.	supporting-source-migrated
0	21.01	unknown		100	V10-000004	NARUTO	M	Prologue — Land of Waves	arc 01 [Prologue — Land of Waves] — Naruto registers officially as a ninja; he meets Konohamaru, who challenges him; Naruto defeats Ebisu with the Harem Technique and teaches Konohamaru that becoming Hokage has no shortcut.	Naruto Uzumaki;Konohamaru Sarutobi;Ebisu			character;location	Konohagakure;Land of Waves	Prologue — Land of Waves	main	inherited_v9	Prologue — Land of Waves	A [еп. 2] — знайомство Наруто з Конохамару та Ебісу.	supporting-source-migrated;daypart
0	22.01	unknown		100	V10-000005	NARUTO	M	перед розподілом команд однокласник штовхає Наруто, і той випадково цілує Саске	M [гл. 3] — перед розподілом команд однокласник штовхає Наруто, і той випадково цілує Саске; клас бурхливо реагує.	Naruto Uzumaki;Sasuke Uchiha			character			main	inherited_v9	гл. 3		daypart
0	22.01	unknown		200	V10-000006	NARUTO	M	Graduation ceremony	M [arc 01, Prologue — Land of Waves] — Graduation ceremony; Teams 7, 8, and 10 are formed; Naruto restrains Sasuke and impersonates him to approach Sakura; Sakura unknowingly insults Naruto to Sasuke; Kakashi meets Team 7, hears their introductions, and schedules the survival exercise.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7		character;team;location	Land of Waves		main	inherited_v9	arc 01, Prologue — Land of Waves		daypart
0	22.01	unknown		300	V10-000007	NARUTO	A	формування Команди 7	A [еп. 3] — формування Команди 7; аніме раніше показує однокласників і майбутні Команди 8 та 10.	Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7;Team 8;Team 10		character;team			main	inherited_v9	еп. 3		daypart
0	22.01	unknown		400	V10-000008	NARUTO	R	Хірузен доручає Команду 7 Какаші	F [Shippūden еп. 179, 360–361; ретроспектива] — Хірузен доручає Команду 7 Какаші; вони відвідують помешкання Наруто й родини Саске та Сакури, Какаші дізнається про спорідненість Наруто з Мінато, спостерігає за новою трійцею з тіні й погоджується провести випробування.	Naruto Uzumaki;Sasuke Uchiha;Kakashi Hatake;Hiruzen Sarutobi;Sakura Haruno	Team 7		character;team			main	inherited_v9	Shippūden еп. 179, 360–361; ретроспектива		daypart
0	22.01	unknown		500	V10-000009	T9LM	P	Формування Команди 9	Ірука призначає Кіту Хаяші, Рена Тецу й Сору Ямано до Команди 9; Рен до цього не знає Кіту на ім’я.	Iruka Umino;Kita Hayashi;Ren Tetsu;Sora Yamano;Raido Namiashi	Team 9		character;team		Team Formation	main	inherited_v9	Team Formation		
0	22.01	unknown		600	V10-000009-B	T9LM	P	Райдо забирає Команду 9	Команди 7 і 9 залишаються чекати наставників. Райдо приходить пізніше, спершу звертається до тих, хто лишився, як до Команди 7, потім визначає Команду 9 і веде Кіту, Рена й Сору до данґо.	Raido Namiashi;Kita Hayashi;Ren Tetsu;Sora Yamano;Naruto Uzumaki;Sasuke Uchiha;Sakura Haruno;Kakashi Hatake	Team 7;Team 9		character;team		Team Formation	main	inherited_v9	Team Formation		
