Year	Date	World	NARUTO	T9LM
0	01.01			
0	02.01			
0	03.01			
0	04.01			
0	05.01			
0	06.01			
0	07.01			
0	08.01			
0	09.01			
0	10.01			
0	11.01			
0	12.01			
0	13.01			
0	14.01			
0	15.01			
0	16.01			
0	17.01			
0	18.01		arc 01 [Prologue — Land of Waves] — Naruto paints the Hokage Monument; Iruka catches him and makes him clean it; Naruto declares that he will surpass every Hokage; Iruka treats him to ramen after Naruto performs the Transformation Technique. | A [еп. 1] — аніме розширює погоню за Наруто, його самотній побут і реакцію мешканців Конохи на витівку з монументом.	
0	19.01		arc 01 [Prologue — Land of Waves] — Naruto fails the Academy graduation exam because he cannot make a stable clone; Mizuki manipulates him into stealing the Scroll of Seals; Hiruzen orders the scroll recovered; Iruka finds Naruto and learns Mizuki set him up; Mizuki reveals the Nine-Tails is sealed in Naruto and attacks Iruka. | A [еп. 1] — випускний іспит, крадіжка Сувою Печатей і зрада Мідзукі екранізовані в межах першої серії.	
0	20.01		arc 01 [Prologue — Land of Waves] — Before dawn Iruka protects Naruto and acknowledges him as Naruto rather than the Nine-Tails; Naruto uses the Multiple Shadow Clone Technique learned from the scroll to defeat Mizuki; Iruka gives Naruto his own forehead protector and passes him. | A [еп. 1] — Ірука визнає Наруто, а той уперше масово застосовує Тіньових Клонів.	
0	21.01		arc 01 [Prologue — Land of Waves] — Naruto registers officially as a ninja; he meets Konohamaru, who challenges him; Naruto defeats Ebisu with the Harem Technique and teaches Konohamaru that becoming Hokage has no shortcut. | A [еп. 2] — знайомство Наруто з Конохамару та Ебісу.	
0	22.01		M [гл. 3] — перед розподілом команд однокласник штовхає Наруто, і той випадково цілує Саске; клас бурхливо реагує. • M [arc 01, Prologue — Land of Waves] — Graduation ceremony; Teams 7, 8, and 10 are formed; Naruto restrains Sasuke and impersonates him to approach Sakura; Sakura unknowingly insults Naruto to Sasuke; Kakashi meets Team 7, hears their introductions, and schedules the survival exercise. • A [еп. 3] — формування Команди 7; аніме раніше показує однокласників і майбутні Команди 8 та 10. • F [Shippūden еп. 179, 360–361; ретроспектива] — Хірузен доручає Команду 7 Какаші; вони відвідують помешкання Наруто й родини Саске та Сакури, Какаші дізнається про спорідненість Наруто з Мінато, спостерігає за новою трійцею з тіні й погоджується провести випробування.	arc 01 [Team Formation] — Iruka assigns Kita Hayashi, Ren Tetsu, and Sora Yamano to Team 9; Ren does not know Kita by name; Teams 7 and 9 are left waiting; Raido arrives late and first addresses the waiting group as Team 7, then identifies Team 9 and takes them to the dango shop; later Kita spends the evening alone at home and cries. G
